209728,129627,83
388871,102669,71
350696,77808,20
371218,190834,44
156749,437356,69
393810,73879,9
331714,160786,57
325072,453260,64
156900,77973,57
478326,151255,63
335052,317735,43
49236,136552,98
14602,233966,80
235846,444287,14
61038,118462,95
304543,237155,70
439610,451458,83
275831,369938,54
205202,443615,53
278388,473242,28
484828,489761,98
358426,19047,84
228156,175367,5
110390,424417,71
80157,55404,28
335700,408701,91
34547,189421,76
484070,456088,28
71027,86341,48
346131,461463,18
497928,197979,76
56878,392337,37
120599,323908,26
122432,276330,11
50462,69612,36
397237,296053,58
33461,234652,62
334210,411285,63
346590,325786,26
173623,113840,8
17590,361219,57
345804,168347,85
165321,153601,15
484389,233623,53
120583,421328,90
104150,129319,95
303579,377537,11
90675,247778,78
221162,231788,3
35352,110804,80
153805,202257,44
41162,185532,29
6001,143741,83
18174,139934,3
103827,261358,20
413116,344937,99
312983,168828,74
33863,336607,92
346235,175017,90
270783,394167,30
134364,33646,2
196273,130619,60
331310,52927,67
332772,157940,32
463511,343236,73
440443,452758,94
295517,383846,61
170485,51911,32
369730,90508,79
128810,145705,80
204704,396388,23
181066,448808,14
468041,101267,77
150020,116026,4
65091,495596,27
393371,338794,29
138298,150622,80
490935,57171,25
401575,176257,9
22383,32941,15
259790,88297,2
465344,225543,51
85530,195750,9
339356,426810,77
304832,291655,62
73781,273468,65
117854,424902,14
216485,256945,91
315044,459393,55
126021,446975,70
174989,90926,38
339565,235889,8
490174,8673,38
403002,268920,13
427584,53912,15
206723,66442,56
397626,158105,76
21595,85651,28
363389,441603,56
397541,248099,21
191824,87222,41
476508,167037,89
333382,143624,60
54276,101114,21
371092,393730,84
471799,17561,21
314262,99634,26
259597,195793,59
220265,305483,95
11128,81169,49
451913,453874,55
463629,357832,56
196690,402921,62
14847,184058,8
473304,18268,94
394098,496954,82
475725,357148,4
493145,213630,69
178275,242587,46
297718,361377,36
434970,165869,51
212743,450282,88
358841,398910,30
114065,346818,30
244976,56031,89
457346,318064,88
459326,322699,52
59255,312213,80
209695,423728,87
250828,444552,46
29549,165306,11
8175,244887,87
173631,12942,21
22152,40027,82
167479,307202,54
451420,469453,88
496452,260665,93
3450,498496,68
147165,355901,27
156457,348872,37
94550,471694,33
169262,79182,54
131463,26374,31
264464,30957,18
334373,424777,95
164430,318110,95
66731,163970,35
318084,294349,93
477566,27072,26
352952,109106,15
36480,288267,31
188481,490889,8
338375,344522,76
319240,277998,14
193085,400370,40
245508,65578,46
387500,172476,53
84909,463712,38
46907,439226,28
170673,128728,32
279930,448733,21
473184,181424,80
435942,79614,2
161495,416928,40
270814,26556,9
259635,148282,57
348302,246050,79
278752,338997,4
308232,41162,70
298815,367659,78
379845,306833,3
492226,27089,15
356940,478638,95
222644,431732,73
156520,241522,95
367823,70105,82
37157,196206,9
